Date,Description,Debit
2/24/24,SMITH'S FOOD #4207 SARATOGA SPRIUT,81.16
2/1/24,DELTA CENTER ARENA SALT LAKE CITUT,23.64
1/22/24,KOHL'S #0777 AMERICAN FORKUT,30.06
1/22/24,KOHL'S #0777 AMERICAN FORKUT,45.1
1/21/24,WAL-MART #2511 AMERICAN FORKUT,24.49
1/12/24,THE ROOFING CENTER SANDY UT,5000
1/8/24,TARGET.COM * 800-591-3869 MN,35.93
7/26/24,Prime Video *RJ6W80U01 888-802-3080 WA,5.09
1/5/24,Prime Video *TK9RT3OQ1 888-802-3080 WA,21.48
1/4/24,PIZZERIA LIMONE 6 LEHI UT,15.9
8/26/24,THE HOME DEPOT #4461 SARATOGASPRINUT,86.26
5/21/24,THE HOME DEPOT #4417 AMERICAN FORKUT,59.59
5/20/24,THE HOME DEPOT #4417 AMERICAN FORKUT,109.85
5/20/24,THE HOME DEPOT #4417 AMERICAN FORKUT,150
1/1/24,THE HOME DEPOT #4417 AMERICAN FORKUT,5.62
1/3/24,JERSEY MIKES 42037 WEST VALLEY CUT,22.62
1/6/24,AMZN Digital*TK94Y6I10 888-802-3080 WA,30
1/15/24,TNF 334 Lehi UT,40.54
6/13/24,Columbia 437 Lehi UT,52.5
4/1/24,Columbia 437 Lehi UT,55.07
4/3/24,RECREATION.GOV 877-444-6777 NM,94.99
3/29/24,RECREATION.GOV 877-444-6777 NM,94.99
8/14/24,RECREATION OUTLET AF SALT LAKE CITUT,28.81
7/12/24,RECREATION OUTLET AF SALT LAKE CITUT,85.77
7/4/24,RECREATION OUTLET AF SALT LAKE CITUT,492.21
6/27/24,RECREATION OUTLET AF SALT LAKE CITUT,213.35
6/20/24,RECREATION OUTLET AF SALT LAKE CITUT,18.09
5/30/24,RECREATION OUTLET AF SALT LAKE CITUT,80.36
5/28/24,R R BBQ LEHI 03 801-6423800 UT,14.09
5/23/24,JIMMY JOHNS - 958 LEHI UT,36.83
5/18/24,TST* SAWADEE Salt Lake CitUT,48.8
5/16/24,BINH CAM DELI SARATOGA SPRIUT,37.48
5/15/24,TARGET 00033787 WINTER GARDENFL,18.93
5/15/24,WDW PANCHITO'S LAKE BUENA VIFL,5.31
5/9/24,SQ *CURRY PIZZA LEHI gosq.com UT,30.41
5/5/24,CHEESECAKE SALT LAKE CIT MURRAY UT,173.43
5/3/24,MACEYS PROVIDENCE PROVIDENCE UT,10.1
5/2/24,CERTUS AIRVAC SERVICE LEHI UT,2
8/29/24,KAMAS FOODTOWN KAMAS UT,12.08
7/19/24,KAMAS FOODTOWN KAMAS UT,4.31
8/28/24,LES SCHWAB TIRES #522 AMERICAN FORKUT,453.38
8/27/24,WENDYS 6060 HIGHLAND UT,7.9
8/26/24,CUBBYS HIGHLAND HIGHLAND UT,31.42
8/26/24,Hulu 877-8244858 CA HULU.COM/BILLCA,96.69
7/26/24,Hulu 877-8244858 CA HULU.COM/BILLCA,96.69
8/24/24,Peacock X1911 Premium 212-6640138 NY,7.99
7/24/24,Peacock 47C31 Premium 212-6640138 NY,2.99
8/22/24,PHILLIPS 66 - HARTS CEDARPLEASANT GROVUT,2.13
8/22/24,SUGAR SWEET PRODUCE -VT SPANISH FORK UT,4.12
8/18/24,7-ELEVEN 16345 SANDY UT,1.17
8/17/24,THE PHILADELPHIAN SANDY UT,25.95
8/14/24,American Eagle 2371 Lehi UT,72.44
8/15/24,TILLYS DBA WORLD OF JE 866-484-5597 CA,80.43
8/8/24,TILLYS DBA WORLD OF JE 866-484-5597 CA,116.05
8/8/24,TILLYS DBA WORLD OF JE 866-484-5597 CA,18.81
8/8/24,TILLYS DBA WORLD OF JE 866-484-5597 CA,37.59
8/6/24,EXXON RESORT RETAILERS #5KAMAS UT,10.32
7/21/24,EXXON RESORT RETAILERS #5KAMAS UT,4.69
8/3/24,UT HUNT/FISH LIC. ONLI 801-538-4851 UT,81.76
7/6/24,UT HUNT/FISH LIC. ONLI 801-538-4851 UT,16.35
7/30/24,FRESH WASH LEHI LEHI UT,11
7/27/24,MY SISTERS CLOSET 180-17627479 UT,441.66
7/26/24,MCDONALD'S F37002 LEHI UT,1.48
7/22/24,MCDONALD'S F37002 LEHI UT,1.08
7/22/24,MCDONALD'S F37002 LEHI UT,5.41
7/22/24,TACO BELL 032472 LEHI UT,10.89
7/16/24,2ND CHANCE AUTO GLASS LEHI UT,298.01
7/6/24,HOBBY LOBBY #463 AMERICAN FORKUT,59.63
7/6/24,TARGET 00018143 AMERICAN FORKUT,62.07
6/22/24,TARGET 00018143 AMERICAN FORKUT,167.29
5/15/24,TARGET 00033787 WINTER GARDENFL,18.93
1/8/24,TARGET.COM * 800-591-3869 MN,35.93
6/28/24,SEATGEEK TICKETS HTTPSWWW.SEATNY,66.4
6/28/24,SLC PARKING STATIONS SALT LAKE CITUT,2.25
6/27/24,SP FLY FISH FOOD 180-16156055 UT,90.88
6/20/24,WON WON WOK clover.com UT,33.71
6/19/24,"CAB STORE LEHI, UT LEHI UT",21.34
6/14/24,SQ *JURASSIC TACOS HIGHLAHighland UT,31.88
6/8/24,ZAO ASIAN CAFE - LEHI LEHI UT,25.38
6/7/24,CRATE&BARREL CB2 NOD 800-967-6696 IL,48.81
6/6/24,eBay O*10-11661-22705 408-3766151 CA,133.2
6/6/24,DicksSportingGoods.com Coraopolis PA,353.51
6/6/24,BCY*BACKCOUNTRY.COM 800-409-4502 UT,160.84
6/6/24,TST* LA CASA DEL TAMAL West Valley CUT,51.3
6/3/24,TEMU.COM 130-248-0611 MA,19.57
6/2/24,TEMU.COM 130-248-0611 MA,35.18
6/1/24,ALS SPORTING GOODS 435-5381228 UT,108.27
8/1/24,O'REILLY 4473 LEHI UT,13.42
6/1/24,REI #81 SANDY SANDY UT,191.97
2/2/24,O'REILLY 4473 LEHI UT,31.15
1/25/24,O'REILLY 4473 LEHI UT,52.64
1/15/24,O'REILLY 4473 LEHI UT,42.97
1/13/24,O'REILLY 4473 LEHI UT,73.04
4/18/24,RC WILLEY HOME FURNISHIN 8015966950 UT,247.12
4/18/24,HOLIDAY OIL #41 LEHI UT,1.81
4/17/24,HOLIDAY OIL #41 LEHI UT,29.86
4/17/24,TST* KNEADERS BAKERY AND LEHI UT,18.3
4/2/24,ARBYS 7580 AMERICAN FORKUT,2.16
4/2/24,TEXAS ROADHOUSE #2384 LEHI UT,28.95
4/2/24,TST* KITCHEN EIGHTY-EIGHTAmerican ForkUT,18.6
